"source","search","url"
"github","tensorflow","https://api.github.com/repositories/34695717/contents/_source/2016-10-02-two-layer-perceptron-tensorflow.Rmd?ref=65c70e9e655f800053981137285684ae00faa4f6"
"github","tensorflow","https://api.github.com/repositories/148977587/contents/watch.Rmd?ref=fa374f2062c28ee8ec8fb1434a5caa4448e1c077"
"github","tensorflow","https://api.github.com/repositories/148977587/contents/code.Rmd?ref=19a74e2c99dd4ebd22ff1662dd577b30ca6cc1e5"
"github","tensorflow","https://api.github.com/repositories/169326702/contents/inst/doc/introduction.Rmd?ref=0e860226e95e48f29fed473506d5b167e5b7a3ee"
"github","tensorflow","https://api.github.com/repositories/169326702/contents/vignettes/introduction.Rmd?ref=0e860226e95e48f29fed473506d5b167e5b7a3ee"
"github","tensorflow","https://api.github.com/repositories/143641107/contents/content/post/2018-02-05_deep_learning_keras_tensorflow_18_07.Rmd?ref=18151ccf7c8a07076f486822005dce4b7bf96950"
"github","tensorflow","https://api.github.com/repositories/143641107/contents/public/post/2018-02-05_deep_learning_keras_tensorflow_18_07.Rmd?ref=18151ccf7c8a07076f486822005dce4b7bf96950"
"github","tensorflow","https://api.github.com/repositories/95151342/contents/content/tensorflow/index.Rmd?ref=eae64e43be2e2a0a63664ef17f57553e1d398901"
"github","tensorflow","https://api.github.com/repositories/156926195/contents/R-package/vignettes/introduction.Rmd?ref=d94dd2ba4db22cf6a57f075c5a04c31310e6b39c"
"github","tensorflow","https://api.github.com/repositories/69958541/contents/src/3_NeuralNetworks/recurrent_network.Rmd?ref=ecbc8b8f4486705a9b25e722c03b063d776d5e07"
"github","tensorflow","https://api.github.com/repositories/90932803/contents/docs/using_tensorflow_api.Rmd?ref=2dc2834c7d21603be8bb5cf0c30119aa651ef0e7"
"github","tensorflow","https://api.github.com/repositories/161966845/contents/01-install.Rmd?ref=b915fdadd746247170bf4e56ed9c54639cdff41c"
"github","tensorflow","https://api.github.com/repositories/180941831/contents/workflow.Rmd?ref=558bb3e58a4785474e6566e81889c2e9758356f5"
"github","tensorflow","https://api.github.com/repositories/103399876/contents/content/post/2017-11-20_deep_learning_keras_tensorflow.Rmd?ref=5b227353a9590c0ddee30c351b65e152dccaa10a"
"github","tensorflow","https://api.github.com/repositories/103399876/contents/public/post/2017-11-20_deep_learning_keras_tensorflow.Rmd?ref=5b227353a9590c0ddee30c351b65e152dccaa10a"
"github","tensorflow","https://api.github.com/repositories/90932803/contents/docs/basic_usage.Rmd?ref=2dc2834c7d21603be8bb5cf0c30119aa651ef0e7"
"github","tensorflow","https://api.github.com/repositories/85732721/contents/vignettes/gaussMixture.Rmd?ref=20fc05f9c8643bca6283b07d9a929a1b73219d8e"
"github","tensorflow","https://api.github.com/repositories/85732721/contents/vignettes/mvGauss.Rmd?ref=20fc05f9c8643bca6283b07d9a929a1b73219d8e"
"github","tensorflow","https://api.github.com/repositories/69958541/contents/src/3_NeuralNetworks/autoencoder.Rmd?ref=ecbc8b8f4486705a9b25e722c03b063d776d5e07"
"github","tensorflow","https://api.github.com/repositories/69958541/contents/src/3_NeuralNetworks/bidirectional_rnn.Rmd?ref=ecbc8b8f4486705a9b25e722c03b063d776d5e07"
"github","tensorflow","https://api.github.com/repositories/69958541/contents/src/3_NeuralNetworks/convolutional_network.Rmd?ref=ecbc8b8f4486705a9b25e722c03b063d776d5e07"
"github","tensorflow","https://api.github.com/repositories/69958541/contents/src/3_NeuralNetworks/multilayer_perceptron.Rmd?ref=ecbc8b8f4486705a9b25e722c03b063d776d5e07"
"github","tensorflow","https://api.github.com/repositories/140599161/contents/_posts/2018-09-07-getting-started/getting-started.Rmd?ref=3437f12f7869999a520f06fc402e8d877c021a71"
"github","tensorflow","https://api.github.com/repositories/79753678/contents/index.Rmd?ref=4c388831b04d886f1c8111ae0dd14dac58632e64"
"github","tensorflow","https://api.github.com/repositories/127105627/contents/21-appendix.Rmd?ref=ca649b240c3464f995bdb20d8d9e417dcd043c7a"
"github","tensorflow","https://api.github.com/repositories/146280939/contents/atelier2/TensorFlow/intro_tensorflow.Rmd?ref=fc9e2d2cc58a5d770fa11ceaa1f02e9625fe0ee5"
"github","tensorflow","https://api.github.com/repositories/103399876/contents/public/post/2018-02-02_deep_learning_keras_tensorflow_18_04.Rmd?ref=5b227353a9590c0ddee30c351b65e152dccaa10a"
"github","tensorflow","https://api.github.com/repositories/79351870/contents/2018/Deploying_TensorFlow_Models--Javier%20Luraschi/deploy-tensorflow-models-walkthrough.Rmd?ref=a2607189c6e0a6c453b205dba213e47d507b35bd"
"github","tensorflow","https://api.github.com/repositories/201546643/contents/content/post/2019-07-31-conda4r-r%EC%9D%84-%EC%9C%84%ED%95%B4%EC%84%9C-conda%EB%A5%BC-%EC%84%A4%EC%B9%98%ED%95%B4%EB%B3%B4%EC%9E%90.Rmd?ref=4f6c65b0ca60f5e55b7305677b133779b33efbe8"
"github","tensorflow","https://api.github.com/repositories/74210830/contents/inst/dockerfiles/cloudDataLabR/googleDatalabR.Rmd?ref=f06aa6e45de7f965cb2813d27c06cbf474d56c15"
"github","tensorflow","https://api.github.com/repositories/42387308/contents/seminars/ICCB-ml-developments-22-07-2017/slides.Rmd?ref=4e120b65472908b8b8b3ea20e103f40ec63e2c3b"
"github","tensorflow","https://api.github.com/repositories/147222611/contents/2018-02-04/deploy-tensorflow-models-with-tfdeploy.Rmd?ref=f6c13a6a6e84d2d8a49f59f4c51ff77b6a9d7ec1"
"github","tensorflow","https://api.github.com/repositories/103542062/contents/learning-notes.Rmd?ref=fe315db22e370242d70ab0f364fcfec749b18589"
"github","tensorflow","https://api.github.com/repositories/105583961/contents/vignettes/introduction.Rmd?ref=3e5fe86103b0f5a3d84b32c2fae06d5ce4b640f3"
"github","tensorflow","https://api.github.com/repositories/97647935/contents/inst/doc/gaussMixture.Rmd?ref=a9be3e12af90fb7a2cb839b1d38e3ac7afa01c26"
